Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
V 404 Cyg,BH,3.714076e+28,0.0,0.0,1.049391e+34,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.543809e+29,0.0,0.0,8.96004e+34,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.025139e+29,0.0,0.0,1.362645e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.481974e+29,0.0,0.0,1.680425e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.348383e+29,0.0,0.0,5.72311e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.3487e+29,0.0,0.0,6.203632e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.583952e+29,0.0,0.0,7.172512e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.349653e+29,0.0,0.0,7.901109e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,4.049277e+29,0.0,0.0,8.29271e+35,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,4.765561e+29,0.0,0.0,1.108529e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,6.60003e+29,0.0,0.0,1.8274e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
